,State,State#,Total State Population,Males under 18 years,Males 18 and 19 years,Males 20 to 24,Males 25 to 29 years,Males 30 to 34 years,Males 35 to 39 years,Males 40 to 44 years,Males 45 to 49 years,Males 50 to 54 years,Males 55 to 59 years,Males 60 and 61 years,Males 62 to 64 years,Males Over 65 years,Females under 18 years,Females 18 and 19 years,Females 20 to 24,Females 25 to 29 years,Females 30 to 34 years,Females 35 to 39 years,Females 40 to 44 years,Females 45 to 49 years,Females 50 to 54 years,Females 55 to 59 years,Females 60 and 61 years,Females 62 to 64 years,Females Over 65 years,Democrat votes 2016,Republican votes 2016
29,New Hampshire,33,1327503,136251,19451,45857,40633,38260,37653,41495,49130,54844,52996,18678,26010,95249,130728,19827,43045,38019,37583,37913,42264,49814,56437,53673,20107,26450,115136,348526,345790
30,New Jersey,34,8915456,1025800,115580,294083,290486,288218,279222,297814,317147,332526,303331,107291,141347,557686,984013,107368,276065,279293,289172,286840,306135,333506,349382,322024,117699,158823,754605,2148278,1601933
31,New Mexico,35,2082669,256335,29638,77725,72432,69528,62732,60062,60745,68346,66200,27065,35747,144885,245415,27742,71894,67750,67040,61279,60686,62853,72135,73682,27849,39503,173401,385234,319667
32,New York,36,19697457,2160595,272600,719165,732368,675874,609994,616390,660710,689762,638450,236920,316385,1225917,2065814,266527,708673,734060,689077,630410,645008,695219,734556,692852,258475,353772,1667884,4379789,2819534
33,North Carolina,37,9940828,1167074,139183,357209,323879,313902,308695,331349,332474,336936,315303,117022,158635,632931,1120752,133687,338251,330903,325702,320677,347037,346886,357603,346275,128739,183325,826399,2189316,2362631
34,North Dakota,38,736162,86130,11987,36570,30803,27649,23300,20463,21152,24998,24895,9441,12676,46915,81587,10842,31439,25697,23654,20110,18499,20213,24135,24660,8593,11924,57830,93758,216794
35,Ohio,39,11586941,1350800,160235,399141,377750,358958,338387,359981,378012,411079,406118,152333,203364,777735,1289060,153007,386652,371995,360545,340834,367030,385936,428621,431976,158624,220166,1018602,2394164,2841005
36,Oklahoma,40,3875589,487092,54248,146556,136431,134990,119450,118866,115568,128240,123483,44469,61544,249058,465233,50190,137992,131549,130773,116179,118796,116180,130546,130581,47895,66853,312827,420375,949136
37,Oregon,41,3982267,441109,50233,136257,138412,138863,131133,131340,125951,129857,130000,54277,75814,288266,420286,48173,130423,133504,137713,130058,125619,124916,134334,140230,56220,82971,346308,1002106,782403
38,Pennsylvania,42,12783977,1384989,183275,442147,429580,397866,364578,390239,425496,462893,459336,171245,226010,917388,1319279,179406,425035,415686,391160,366805,393837,435719,480402,478747,179512,247488,1215859,2926441,2970733
