,State,State#,Total State Population,Males under 18 years,Males 18 and 19 years,Males 20 to 24,Males 25 to 29 years,Males 30 to 34 years,Males 35 to 39 years,Males 40 to 44 years,Males 45 to 49 years,Males 50 to 54 years,Males 55 to 59 years,Males 60 and 61 years,Males 62 to 64 years,Males Over 65 years,Females under 18 years,Females 18 and 19 years,Females 20 to 24,Females 25 to 29 years,Females 30 to 34 years,Females 35 to 39 years,Females 40 to 44 years,Females 45 to 49 years,Females 50 to 54 years,Females 55 to 59 years,Females 60 and 61 years,Females 62 to 64 years,Females Over 65 years
34,North Dakota,38,676253.0,77260.0,11717.0,32460.0,26090.0,22193.0,18727.0,20535.0,22932.0,25422.0,23242.0,8393.0,10444.0,42615.0,73040.0,10619.0,28368.0,22665.0,19942.0,17364.0,19375.0,22771.0,24783.0,21697.0,8019.0,10326.0,55254.0
35,Ohio,39,11533561.0,1388602.0,170617.0,386061.0,361562.0,346481.0,351208.0,384093.0,415658.0,430816.0,382897.0,140378.0,180392.0,691608.0,1329476.0,162564.0,380348.0,364122.0,348790.0,358766.0,388130.0,428176.0,449443.0,401648.0,151657.0,197074.0,942994.0
36,Oklahoma,40,3749005.0,474896.0,56912.0,140638.0,133738.0,123225.0,117666.0,115509.0,127235.0,129659.0,115537.0,41541.0,56544.0,222537.0,451856.0,53737.0,132645.0,128760.0,117859.0,117034.0,113525.0,129257.0,133426.0,122411.0,45135.0,60440.0,287283.0
37,Oregon,41,3836628.0,442579.0,53239.0,130413.0,132915.0,132658.0,125397.0,128927.0,129241.0,134929.0,130896.0,50594.0,66179.0,241219.0,421664.0,50154.0,126535.0,130489.0,128427.0,123749.0,123451.0,131153.0,140866.0,139689.0,52466.0,69491.0,299308.0
38,Pennsylvania,42,12699589.0,1425072.0,196539.0,440291.0,396017.0,367470.0,380260.0,421784.0,464272.0,481142.0,430225.0,156176.0,203122.0,828035.0,1357746.0,193353.0,427716.0,391070.0,366983.0,385109.0,429274.0,479492.0,497531.0,450688.0,166072.0,219838.0,1144312.0
39,Rhode Island,44,1052471.0,114318.0,18557.0,41308.0,33334.0,30616.0,31706.0,35358.0,38591.0,38817.0,34621.0,12402.0,15777.0,63116.0,108720.0,19252.0,40633.0,32751.0,31285.0,32745.0,37692.0,41120.0,41915.0,36817.0,13577.0,17396.0,90047.0
40,South Carolina,45,4630351.0,548747.0,73122.0,170541.0,151048.0,142877.0,145632.0,151532.0,158617.0,156679.0,143429.0,55853.0,76856.0,276965.0,529075.0,68676.0,164535.0,152977.0,145876.0,148647.0,157861.0,168621.0,169606.0,162686.0,62452.0,84308.0,363133.0
41,South Dakota,46,815871.0,104233.0,12426.0,30103.0,28833.0,25397.0,23772.0,24557.0,28564.0,29823.0,27627.0,9540.0,12882.0,51577.0,97699.0,12177.0,27460.0,26550.0,24017.0,22098.0,23796.0,28066.0,29818.0,27139.0,9255.0,12587.0,65875.0
42,Tennessee,47,6353226.0,764686.0,89770.0,215264.0,208100.0,202239.0,208289.0,216511.0,225127.0,221226.0,198028.0,78567.0,99857.0,369904.0,729150.0,86302.0,217164.0,210973.0,206422.0,212466.0,219792.0,235327.0,235786.0,215813.0,83635.0,111313.0,491515.0
43,Texas,48,25208897.0,3501914.0,390520.0,946917.0,938304.0,889877.0,879995.0,855388.0,867986.0,824497.0,689760.0,250664.0,323017.0,1150973.0,3347415.0,365134.0,891949.0,913040.0,882004.0,885836.0,858391.0,876670.0,844747.0,727808.0,264307.0,357367.0,1484417.0
44,Utah,49,2766233.0,445729.0,43945.0,116569.0,115524.0,110525.0,90874.0,80810.0,77184.0,75288.0,66408.0,22236.0,30649.0,114245.0,421361.0,45570.0,114916.0,110483.0,105246.0,89156.0,75186.0,76647.0,76838.0,67823.0,23940.0,31398.0,137683.0
45,Vermont,50,625498.0,66159.0,11148.0,22975.0,17646.0,16876.0,17398.0,21571.0,23806.0,25465.0,24461.0,8823.0,11322.0,40779.0,62145.0,10285.0,21205.0,17565.0,17528.0,17023.0,22669.0,25201.0,26651.0,24687.0,8996.0,11832.0,51282.0
46,Virginia,51,8014955.0,944796.0,120085.0,296822.0,283365.0,263759.0,262679.0,287366.0,300643.0,287935.0,244334.0,93552.0,121644.0,426840.0,903917.0,115216.0,277548.0,279060.0,267216.0,272160.0,292080.0,311521.0,302731.0,264081.0,102589.0,131351.0,561665.0
47,Washington,53,6738714.0,807520.0,95083.0,244081.0,247227.0,232096.0,226568.0,235472.0,243645.0,245221.0,219864.0,81430.0,107172.0,374667.0,768383.0,90088.0,226090.0,235643.0,224512.0,221100.0,229124.0,243032.0,248940.0,230643.0,86621.0,111939.0,462553.0
48,West Virginia,54,1850481.0,198196.0,26442.0,61322.0,54082.0,56552.0,57486.0,61952.0,65180.0,69761.0,67264.0,28261.0,34144.0,130500.0,188932.0,25148.0,58167.0,53712.0,55209.0,56204.0,61452.0,65912.0,72107.0,70598.0,28145.0,34901.0,168852.0
49,Wisconsin,55,5687219.0,682512.0,84223.0,197822.0,187376.0,179059.0,174975.0,192034.0,216296.0,217161.0,193284.0,68364.0,88386.0,340779.0,651264.0,80357.0,190750.0,180385.0,172908.0,170331.0,190024.0,215920.0,217564.0,194223.0,68224.0,90115.0,442883.0
50,Wyoming,56,562803.0,69468.0,8972.0,21292.0,21097.0,18872.0,17540.0,17739.0,19394.0,21920.0,21488.0,7386.0,8883.0,32593.0,65341.0,7436.0,19198.0,19480.0,17318.0,16033.0,16351.0,19518.0,21764.0,20368.0,6956.0,8617.0,37779.0
51,Puerto Rico,72,3716727.0,459557.0,58106.0,132808.0,118736.0,117691.0,113501.0,116835.0,114742.0,109896.0,99623.0,41047.0,59412.0,238751.0,437595.0,55980.0,131707.0,124982.0,127133.0,122200.0,129633.0,131643.0,128167.0,118622.0,48989.0,70089.0,309282.0
